month            fsl         fslrf       hml           rf        rmrf        smb
01nov1999        1.54        1.18       -7.92         .36        3.32        7.69  
01dec1999         .32        -.12       -9.13         .44        7.93        6.89  
01jan2000        2.14        1.73         .29         .41       -4.37        4.45  
01feb2000         .13         -.3      -12.78         .43        2.75       22.19  
01mar2000        1.77         1.3        7.91         .47        4.88      -16.67  
01apr2000         .27        -.19         9.3         .46       -6.41       -7.68  
01may2000         1.3          .8        3.79          .5        -4.4       -4.79  
01jun2000         .73         .33       -9.95          .4        4.76       13.81  
01jul2000         .58          .1        8.38         .48       -2.19       -2.77  
01aug2000        1.26         .76       -1.32          .5        7.08        -.87  
01sep2000         .18        -.33        6.86         .51       -5.62       -1.81  
01oct2000         .86          .3        4.93         .56       -3.02       -3.75  
01nov2000         .62         .11       12.49         .51      -10.76       -3.15  
01dec2000         .36        -.14        6.21          .5        1.53        1.53  
01jan2001        2.14         1.6       -5.64         .54        3.41        6.95  
01feb2001         .08        -.31       13.84         .39      -10.32       -1.13  
01mar2001        1.07         .63        6.27         .44       -7.47         .58  
01apr2001        1.26         .87       -4.51         .39           8         .32  
01may2001         .26        -.06        2.87         .32         .74        2.96  
01jun2001         .17        -.11       -2.12         .28       -2.03        6.41  
01jul2001         .38         .08         5.6          .3       -2.13        -4.2  
01aug2001         .94         .63        3.31         .31       -6.22        2.17  
01sep2001         .66         .38        1.62         .28       -9.43       -6.53  
01oct2001        1.22           1          -7         .22        2.58        6.86  
01nov2001        1.14         .97         .83         .17         7.7          .4  
01dec2001         .12        -.03         .39         .15        1.63        5.12  
01jan2002        -.04        -.18        3.47         .14       -1.74        1.13  
01feb2002         .53          .4        3.93         .13        -2.3       -1.67  
01mar2002         .39         .26        1.12         .13        4.34        4.35  
01apr2002        1.09         .94         4.2         .15       -5.12        5.83  
01may2002        2.05        1.91        2.47         .14       -1.19       -3.71  
01jun2002         .19         .06        1.47         .13       -7.16        3.52  
01jul2002        3.29        3.14       -3.66         .15       -8.26       -5.18  
01aug2002        -.14        -.28        2.18         .14         .66       -2.19  
01sep2002         .06        -.08        1.15         .14      -10.14        2.71  
01oct2002         .66         .52       -6.51         .14        7.35          -3  
01nov2002          .1        -.02       -1.55         .12        6.01        3.18  
01dec2002           0        -.11        3.88         .11       -5.44        -.52  
01jan2003        -.35        -.45        -.89          .1       -2.44        1.39  
01feb2003        -.05        -.14       -1.46         .09       -1.63        -.29  
01mar2003        1.85        1.75       -1.71          .1         .93         .83  
01apr2003         .03        -.07        -.03          .1        8.18        1.12  
01may2003          .9         .81         .17         .09        6.26        4.71  
01jun2003         .93         .83         .63          .1        1.53        1.47  
01jul2003        1.37         1.3       -2.07         .07        2.24         5.6  
01aug2003         .16         .09        1.78         .07        2.43        2.66  
01sep2003         .86         .78         .94         .08        -.99         .58  
01oct2003        1.26        1.19        1.81         .07        5.96        2.91  
01nov2003        -.14        -.21        1.39         .07        1.59        2.23  
01dec2003         .25         .17        2.68         .08        4.47       -2.81  
01jan2004         .88         .81        1.63         .07        2.23        2.63  
01feb2004         .44         .38         .36         .06        1.49       -1.19  
01mar2004        -.01         -.1           0         .09       -1.16        1.85  
01apr2004         .37         .29       -1.72         .08        -2.5       -2.53  
01may2004         .59         .53        -.26         .06        1.35        -.15  
01jun2004        1.21        1.13        1.68         .08        2.08        2.27  
01jul2004         .02        -.08        4.41          .1       -3.87       -3.83  
01aug2004        1.26        1.15        1.15         .11         .16       -1.53  
01sep2004         .46         .35         .37         .11        1.94        2.84  
01oct2004         .03        -.08        -.93         .11        1.67         .45  
01nov2004         .79         .64        1.91         .15        4.67        4.11  
01dec2004         .24         .08        -.36         .16        3.36          .2  
01jan2005         .51         .35        2.47         .16       -2.82        -1.6  
01feb2005         .37         .21        2.81         .16        2.11        -.76  
01mar2005         .85         .64        1.67         .21        -1.9       -1.31  
01apr2005         .14        -.07        -.46         .21       -2.73       -3.97  
01may2005         .63         .39       -1.21         .24        3.56        2.99  
01jun2005         .46         .23        2.72         .23         .92        2.59  
01jul2005         .13        -.11        -.45         .24        4.09        2.77  
01aug2005         .16        -.14         1.4          .3        -.89        -.89  
01sep2005         .89          .6        1.19         .29         .77        -.64  
01oct2005        1.61        1.34        -.71         .27       -2.35       -1.04  
01nov2005         .75         .44       -1.81         .31        3.73        1.01  
01dec2005         .54         .22         .48         .32         .03        -.48  
01jan2006          .7         .35        1.13         .35        3.65        5.38  
01feb2006          .2        -.14        -.84         .34         -.5        -.37  
01mar2006        1.31         .94        -.02         .37        1.54        3.52  
01apr2006         .94         .58        3.06         .36         .94       -1.21  
01may2006          .7         .27        2.72         .43       -3.53       -2.99  
01jun2006         .51         .11        1.48          .4        -.44        -.47  
01jul2006        1.06         .66        3.28          .4        -.59       -3.91  
01aug2006         .77         .35       -1.72         .42        2.09         .79  
01sep2006         .68         .27        -.45         .41        1.53       -1.19  
01oct2006         .42         .01         .48         .41         3.3        1.68  
01nov2006         .86         .44         .46         .42        1.95          .7  
01dec2006         .86         .46        2.55          .4         .68         -.9  
01jan2007         .29        -.15        -.09         .44         1.5         .04  
01feb2007        -.11        -.49         .31         .38       -1.78        1.39  
01mar2007        1.64        1.21         .32         .43         .87        -.19  
01apr2007         .98         .54        -.96         .44        3.55       -2.11  
01may2007         .81          .4        -.08         .41        3.48        -.07  
01jun2007         .34        -.06       -1.05          .4       -1.87         .65  
01jul2007         .17        -.23       -2.97          .4       -3.57       -2.71  
01aug2007         .31        -.11       -2.35         .42         .75        -.13  
01sep2007         .97         .65       -2.09         .32        3.77       -2.47  
01oct2007         .46         .14       -1.98         .32        2.26         .08  
01nov2007        1.04          .7        -.99         .34       -5.27       -2.74  
01dec2007         .23        -.04        -.07         .27         -.7         .06  
01jan2008         .63         .42        3.05         .21       -6.44        -.76  
01feb2008         .06        -.07           0         .13       -2.33        -.54  
01mar2008         .18         .01         .19         .17       -1.21         .85  
01apr2008         .93         .76         .07         .17        4.94       -1.53  
01may2008         .81         .64        -.31         .17        2.22        2.87  
01jun2008        -.06        -.23       -1.05         .17       -8.03        1.08  
01jul2008         .72         .57        3.61         .15       -1.47        3.71  
01aug2008         .71         .59        1.46         .12         .99        3.76  
01sep2008          .5         .35        4.48         .15       -9.96        -.24  
01oct2008        -.06        -.14       -3.13         .08      -18.54       -2.12  
